R,fci,ccsd(t),b3lyp,pbe0,m06-2x,b2-plyp,pbe0-dh,scan0-dh,tpss0-dh
0.55,-1.1104007826,-1.1353934699,,-1.1293776145,-1.131830397,-1.1330606293,-1.1323274856,-1.1332989159,-1.1396938696
0.65,-1.1437331375,-1.1670444209,,-1.1617121171,-1.1631036199,-1.1644373941,-1.164235048,-1.1645701974,-1.1710855325
0.75,-1.1521788364,-1.1738409354,,-1.1689914909,-1.1694171001,-1.1708922783,-1.1710322207,-1.1708138607,-1.1773813158
0.85,-1.1476615812,-1.1677033353,,-1.163069116,-1.162630217,-1.1642818212,-1.1645952194,-1.1638987277,-1.1704450527
0.95,-1.1364892805,-1.154924162,,-1.1501992229,-1.1489500442,-1.1508514239,-1.151191073,-1.1500817468,-1.1566050229
1.05,-1.1221914461,-1.1390240255,,-1.1338512824,-1.1318169713,-1.1340664783,-1.1343006233,-1.1328337372,-1.1393094532
1.15,-1.1068107387,-1.1220428377,,-1.1160141245,-1.1132400368,-1.1159141934,-1.1159221252,-1.1141447905,-1.1205516029
1.25,-1.0915543807,-1.1051919503,,-1.097849139,-1.0944136685,-1.0975563145,-1.0972255532,-1.0951781138,-1.1014891574
1.35,-1.077137482,-1.0891973993,,-1.0800372319,-1.0760291257,-1.0796755003,-1.0789001504,-1.0766169767,-1.0828214256
1.45,-1.0639713081,-1.0744875417,,-1.0629718073,-1.0584619222,-1.0626679749,-1.0613475838,-1.0588577725,-1.064927026
1.55,-1.0522699769,-1.0612989176,,-1.0468706252,-1.0418975414,-1.0467552775,-1.044793901,-1.0421219952,-1.0480780611
1.65,-1.0421128622,-1.0497371686,,-1.0318426254,-1.0264087256,-1.0320509461,-1.0293564718,-1.0265230945,-1.0323499794
1.75,-1.0334834516,-1.0398130285,,-1.0179286938,-1.0120065489,-1.0186010406,-1.0150847793,-1.0121070923,-1.0177997256
1.85,-1.026296704,-1.0314652149,,-1.0051269772,-0.9986766775,-1.0064090514,-1.0019855617,-0.9988776317,-1.0044424623
1.95,-1.0204212316,-1.0245779975,,-0.9934086962,-0.9863939136,-0.9954512274,-0.9900382691,-0.9868114227,-0.9922580108
2.05,-1.0156986757,-1.0189979315,,-0.9827274213,-0.9751223828,-0.9856853462,-0.9792039844,-0.9758671878,-0.9811707158
2.15,-1.0119604164,-1.0145508839,,-0.97302309,-0.9648126745,-0.9770544017,-0.9694292316,-0.965989425,
2.25,-1.0090409546,-1.0110579208,,-0.9642222667,-0.9553930804,-0.9694866818,-0.9606461819,-0.957108549,-0.9621849247
2.35,-1.0067874037,-1.0083482942,,-0.9562395236,-0.9467839891,-0.9628971025,-0.9527739989,-0.9491421672,-0.9545843951
2.45,-1.0050650705,-1.006268163,,-0.9489875919,-0.9388786703,-0.957197437,-0.9457290038,-0.9420052187,-0.9468980789
